Discovery Date,File Name,IP Address,ASN,ASN Name,MD5
2012-12-24,,46{.}105{.}98{.}193,FR,16276,OVH OVH Systems,97fe6ede04e8eef4055bee376c4f8df5
2012-12-24,storagenl.info/v402/index.html?affiliate_id=eb4,95{.}211{.}95{.}250,NL,16265,LEASEWEB LeaseWeb B.V.,e7f864a69b3d9fbabf533abdc5165f7d
2012-12-24,,54{.}235{.}251{.}129,US,14618,"AMAZON-AES - Amazon.com, Inc.",eff4bb8b23f866687b47caa7450dfc8c
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia07.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,3dbcd7ae7ca08ff8ebafbb1cece9bbdd
2012-12-24,iwhuwugy.ru/keybex3.exe,5{.}20{.}60{.}188,LT,21412,CGATES-AS UAB _Cgates_,91df6c7c63a781422a3efce377962a5b
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia08.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,9eb9951472953b475de786377f5697a3
2012-12-24,ld.download-guru.com/index.html?s=3d3d3dwgaremover,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,45d12b13cf98259a894deecea783b5c0
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia09.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,fc531874e4a68a1d88e8e6bf483b1c42
2012-12-24,ld.download-guru.com/index.html?s=Majoe &&amp%2F%2F%2F,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,8c0decf90c945da2bd388eeceefb5fd4
2012-12-24,wt3.97sky.cn/documentsrescuepro.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,869b15b24091b98c984fd1aea79dbcc0
2012-12-24,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,a48e9430ac72249e1382a13c71746b97
2012-12-24,www.ccibltd.net/go.exe,62{.}255{.}175{.}157,GB,15510,CWCS-PS Compuweb Communications Services Limited,c18a245b06de0add02646ae8a6341b85
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia01.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,2f83cdeaaacf92021b1b4b9d94cfdcef
2012-12-23,jonoobsong.com/modules/sms/klicck.exe,5{.}104{.}107{.}122,DE,24961,FIBREONE-AS myLoc managed IT AG,471d6b65638b57404caadca36ac4d375
2012-12-23,www.lochter.de/VzbWGU5p/HFvRrYi.exe,91{.}217{.}86{.}12,DE,197269,BTNET Baumann Technologie GmbH,d93371f434405b3b1ea427a431586776
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia04.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,985b00875a3fe007b1b8498444c0d227
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,33dd641e5c2eb345c9f824321f785cee
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia05.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,aa662beaf8af3c87c4e97450e1048f89
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,7e714657e28bf4a393d58fb368c68769
2012-12-23,adgraphicdesign.co.uk/st.exe,62{.}255{.}175{.}157,GB,15510,CWCS-PS Compuweb Communications Services Limited,d526661e4f56fc22ff9532085038466a
2012-12-23,whitehat.su/3.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",04eb317e88b9432b0d281531b8165378
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,e787a66d72e527b34562619f4962e312
2012-12-23,at-brodbeck.de/qE6.exe,83{.}220{.}144{.}21,DE,25074,MESH-AS MESH GmbH,1cb2ac18ab94c69ca2965dee3d8113d7
2012-12-23,whitehat.su/5.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",51da2f8f3691b96a1e22e2329391be0e
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,a48e9430ac72249e1382a13c71746b97
2012-12-23,marketing-mt.de/r4v.exe,88{.}84{.}137{.}154,DE,24989,IXEUROPE-DE-FRANKFURT-ASN Equinix Germany (Previously IX Europe Germany AS),2e0d973f414015668f38646ce9b68850
2012-12-23,best-dating2010.info/index/down/index.html,46{.}249{.}42{.}161,NL,50673,SERVERIUS-AS Serverius Holding B.V.,df218fcb15920a2ea7f78942dff06726
2012-12-23,whitehat.su/16.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",70ba2c5830a9204e6c76c1247074a99f
2012-12-23,msecure.su/citdl/newmixplfiit/cit.exe,198{.}162{.}116{.}16,CA,3633,BC-SYSTEMS - Province of British Columbia,9ffe865c925bf06d35aa6b68cdaf3609
2012-12-23,dlfr.pctuto.com/download/pctuto385.exe,46{.}105{.}174{.}27,FR,16276,OVH OVH Systems,2bf58c0e56fd6a4619ad1a5d5c7960dc
2012-12-23,whitehat.su/2.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",a0da1a92930422076704ef09488ead3e
2012-12-23,names-wills-roc-kf.net/data.exe,46{.}249{.}42{.}169,NL,50673,SERVERIUS-AS Serverius Holding B.V.,c052565dbd75fb0ae8d443ff0779566a
2012-12-23,,210{.}112{.}10{.}188,KR,9848,GNGAS Enterprise Networks,84ee30ccb73080e27b2c776632bd92a5
2012-12-23,whitehat.su/exe.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",d1cf4dcc51300e739e621b2a5fb61970
2012-12-23,proxyinside.com/ReK4MWr8/C6D9EVnq.exe,176{.}9{.}52{.}83,DE,24940,HETZNER-AS Hetzner Online AG RZ,0c8404c6af47a6a94aa8237cf01d24e5
2012-12-23,dw7.uptodown.com/ic/counter-strike-online-en-win-setup.exe,37{.}59{.}5{.}142,FR,16276,OVH OVH Systems,d719286acfad554b44a80a31670af951
2012-12-23,wt3.97sky.cn/documentsrescuepro.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,869b15b24091b98c984fd1aea79dbcc0
2012-12-23,s.winggo.co.kr/tabsync/tabsynchelper.dll,121{.}78{.}93{.}135,KR,9286,LGH-AS-KR LGHitachi,870501b2d0d8873acd9e92b0fa15d954
2012-12-23,,54{.}235{.}251{.}129,US,14618,"AMAZON-AES - Amazon.com, Inc.",f91f590af622cd7b0295997dffb8f8d0
2012-12-23,www.fluechtlingskinder-nuernberg.de/Wp2VfNW5.exe,217{.}160{.}65{.}226,DE,8560,ONEANDONE-AS 1&1 Internet AG,d18cc60bea64477a591429c600b52cdc
2012-12-23,storagenl.info/v402/index.html?affiliate_id=eb4,95{.}211{.}95{.}250,NL,16265,LEASEWEB LeaseWeb B.V.,bcfd624b08febe4763224848b9208494
2012-12-23,iwhuwugy.ru/keybex3.exe,95{.}85{.}159{.}170,RS,41897,SAT-TRAKT-AS SAT-TRAKT D.O.O. Autonomous System,4b4b1e7da22d4ce88f9ae91e533530d5
2012-12-23,www.lochter.de/VzbWGU5p/HFvRrYi.exe,91{.}217{.}86{.}12,DE,197269,BTNET Baumann Technologie GmbH,630c7d3e168e66f23f256bbb9eb1bc21
